instance_name;pricing_method;qt_pevars_priced_restricted;qt_cmvars_priced_restricted;qt_plates_priced_restricted;qt_pevars_after_purge;qt_cmvars_after_purge;qt_plates_after_purge;heuristic_lb;restricted_obj_value;restricted_obj_bound;restricted_lp_stop_reason;restricted_stop_reason;solved_priced_restricted_model;enumeration_time;heuristic_lb_time;restricted_pricing_time;iterative_pricing_time;final_pricing_time;total_pricing_time;final_root_relaxation_time;final_solving_time;obj_value;solution_profit;obj_bound;total_instance_time;build_and_solve_time;run_total_time;run_ended_by_exception;had_timeout;build_stop_reason;datafile
../instances/P3_250_250_25_1;furini;-1;-1;-1;-1;-1;-1;50196.0;NaN;NaN;MathOptInterface.TIME_LIMIT;NOT_REACHED;false;0.188665811;1.739397483;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;10800.391765356;true;true;NOT_REACHED;./experiments_outputs/2020-07-28T05:02:27/jl_qBWqFK
../instances/P3_150_150_50_1;none;-1;-1;-1;3817;816319;16161;26064.0;NaN;NaN;NOT_REACHED;NOT_REACHED;false;0.046192713;1.859951528;NaN;NaN;NaN;NaN;130.1;250.647533948;31701.00005732552;31701.0;31701.00005732552;255.685845936;255.25431108474731;255.842407008;false;false;BUILT_MODEL;./experiments_outputs/2020-07-28T05:02:27/jl_qbzZMI
../instances/P4_250_250_25_1;furini;-1;-1;-1;-1;-1;-1;61390.0;NaN;NaN;MathOptInterface.TIME_LIMIT;NOT_REACHED;false;0.17409801;1.868184994;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;10800.374507702;true;true;NOT_REACHED;./experiments_outputs/2020-07-28T05:02:27/jl_qlmRbI
../instances/P2_200_100_50_1;none;-1;-1;-1;4231;657905;12999;20164.0;NaN;NaN;NOT_REACHED;NOT_REACHED;false;0.042998733;1.746458647;NaN;NaN;NaN;NaN;59.6;10796.137660768;25626.0;25626.0;26282.0;NaN;10800.161405086517;10800.746599067;true;true;BUILT_MODEL;./experiments_outputs/2020-07-28T05:02:27/jl_rqmufH
../instances/P2_200_100_25_1;none;-1;-1;-1;2392;425932;10802;19143.0;NaN;NaN;NOT_REACHED;NOT_REACHED;false;0.026974112;0.948179658;NaN;NaN;NaN;NaN;30.25;74.049383587;21494.0;21494.0;21494.0;76.899879579;76.58127999305725;77.012163866;false;false;BUILT_MODEL;./experiments_outputs/2020-07-28T05:02:27/jl_viIqOG
../instances/P3_150_150_50_1;furini;3817;496517;16161;3817;634074;15758;26064.0;31377.0;31377.0;MathOptInterface.OPTIMAL;MathOptInterface.OPTIMAL;true;0.046967808;1.903507063;2031.5220730304718;731.2207360267639;2.7863049507141113;2765.530141752;91.77;181.442197792;31701.0;31701.0;31701.0;2948.994632018;2948.5950939655304;2949.152571053;false;false;BUILT_MODEL;./experiments_outputs/2020-07-28T05:02:27/jl_wKS4SJ
../instances/P1_100_400_25_1;furini;2554;572331;24854;-1;-1;-1;43762.0;53247.0;54540.0;MathOptInterface.OPTIMAL;MathOptInterface.TIME_LIMIT;false;0.092837031;1.012186677;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;10800.305693043;true;true;NOT_REACHED;./experiments_outputs/2020-07-28T05:02:27/jl_xeFzQH
../instances/P1_100_200_50_5;furini;4177;552336;15244;-1;-1;-1;23837.0;27722.0;27930.0;MathOptInterface.OPTIMAL;MathOptInterface.TIME_LIMIT;false;0.054097648;2.045608234;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;10800.241124177;true;true;NOT_REACHED;./experiments_outputs/2020-07-28T05:00:34/jl_19bgSW
../instances/P3_150_150_25_5;none;-1;-1;-1;1169;846688;16425;26047.0;NaN;NaN;NOT_REACHED;NOT_REACHED;false;0.039997085;0.98402015;NaN;NaN;NaN;NaN;176.11;10796.268624118;31332.0;31332.0;31682.0;NaN;10800.132225036621;10800.783217427;true;true;BUILT_MODEL;./experiments_outputs/2020-07-28T05:00:34/jl_3BW7EX
../instances/P1_100_400_50_5;none;-1;-1;-1;4177;3318297;32844;46048.0;NaN;NaN;NOT_REACHED;NOT_REACHED;false;0.153198211;2.032277507;NaN;NaN;NaN;NaN;1173.1;10787.053712464;53749.0;53749.0;55005.0;NaN;10800.551207065582;10802.59862137;true;true;BUILT_MODEL;./experiments_outputs/2020-07-28T05:00:34/jl_3PtZOU
