instance_name;pricing_method;disabled_redundant_cut;disabled_cut_position;pricing_time;total_instance_time;qt_piece_types;qt_cmvars_pre_pricing;qt_plates_pre_pricing;qt_cmvars_pre_purge;qt_plates_pre_purge;qt_cmvars_pos_purge;qt_plates_pos_purge;finished;datafile
../instances/CHL2;none;true;true;NaN;0.285303847;10;57557;2348;57557;2348;57557;2348;true;./experiments_outputs/2020-05-29T21:37:37/jl_WRyzoM
../instances/cgcut3;furini;false;false;2.4698688890000002;2.671109408;20;32395;1860;11296;1860;8425;1393;true;./experiments_outputs/2020-05-30T23:26:05/jl_WUMVud
../instances/A1;none;false;true;NaN;0.214376692;20;44305;2040;44305;2040;44305;2040;true;./experiments_outputs/2020-05-29T21:37:37/jl_WbmmzR
../instances/CHL1s;none;false;false;NaN;3.393636779;30;519161;10402;519161;10402;519161;10402;true;./experiments_outputs/2020-05-29T21:37:37/jl_XnXWlY
../instances/3;none;true;true;NaN;0.176165391;20;38465;1860;38465;1860;38465;1860;true;./experiments_outputs/2020-05-29T21:37:37/jl_YQHOO0
../instances/Hchl6s;none;false;false;NaN;31.504715129;22;4202385;44593;4202385;44593;4202385;44593;true;./experiments_outputs/2020-05-29T21:37:37/jl_YnGlAA
../instances/A4;none;false;true;NaN;1.146034087;20;178749;4860;178749;4860;178749;4860;true;./experiments_outputs/2020-05-29T21:37:37/jl_Z72y3D
../instances/CU2;none;true;true;NaN;6.373039114;35;951854;16068;951854;16068;951854;16068;true;./experiments_outputs/2020-05-29T21:37:37/jl_ZDHxJI
../instances/STS2;none;true;false;NaN;0.570307048;30;106707;3383;106707;3383;106707;3383;true;./experiments_outputs/2020-05-29T21:37:37/jl_ZLyWWq
../instances/Hchl3s;none;false;false;NaN;3.144069782;10;506117;9670;506117;9670;506117;9670;true;./experiments_outputs/2020-05-29T21:37:37/jl_ZOkfkC
../instances/gcut7;none;true;true;NaN;29.325166431;30;4908292;100800;4908292;100800;4908292;100800;true;./experiments_outputs/2020-05-29T21:37:37/jl_ZUn10g
../instances/CU2;none;false;false;NaN;4.468114656;35;716679;16068;716679;16068;716679;16068;true;./experiments_outputs/2020-05-29T21:37:37/jl_ZWO2QR
